Date,Clicks,Impressions,CTR,Position
2024-12-10,289,38580,0.75%,10.93
2024-12-09,297,19320,1.54%,12.52
2024-12-08,304,18238,1.67%,9.35
2024-12-07,262,18728,1.4%,11.29
2024-12-06,255,19804,1.29%,9.17
2024-12-05,351,18095,1.94%,9.79
2024-12-04,323,18303,1.76%,8.41
2024-12-03,310,19599,1.58%,8.7
2024-12-02,318,19639,1.62%,9.75
2024-12-01,328,18778,1.75%,8.48
2024-11-30,269,17792,1.51%,7.93
2024-11-29,243,16171,1.5%,8.88
2024-11-28,278,16326,1.7%,8.07
2024-11-27,289,17731,1.63%,9.04
2024-11-26,297,18570,1.6%,11.45
2024-11-25,351,19163,1.83%,10.87
2024-11-24,439,23397,1.88%,9.05
2024-11-23,357,18710,1.91%,8.52
2024-11-22,242,16830,1.44%,11.11
2024-11-21,331,17007,1.95%,9.62
2024-11-20,309,17702,1.75%,9.35
2024-11-19,298,20313,1.47%,12.17
2024-11-18,318,22511,1.41%,12.97
2024-11-17,309,17615,1.75%,8.96
2024-11-16,309,18283,1.69%,10.12
2024-11-15,290,19606,1.48%,10.59
2024-11-14,275,19159,1.44%,9.76
2024-11-13,305,19566,1.56%,11.03
2024-11-12,342,18561,1.84%,10.37
2024-11-11,331,19116,1.73%,9.88
2024-11-10,374,19281,1.94%,9.02
2024-11-09,280,17860,1.57%,9.19
2024-11-08,317,17711,1.79%,10.55
2024-11-07,313,18030,1.74%,9.57
2024-11-06,373,18141,2.06%,9.41
2024-11-05,377,20418,1.85%,12.13
2024-11-04,351,26629,1.32%,15.36
2024-11-03,322,20085,1.6%,10.34
2024-11-02,282,18966,1.49%,9.83
2024-11-01,354,20497,1.73%,11.33
2024-10-31,363,22505,1.61%,12.98
2024-10-30,319,19161,1.66%,10.25
2024-10-29,323,19152,1.69%,9.91
2024-10-28,362,20659,1.75%,11.46
2024-10-27,253,19338,1.31%,10.78
2024-10-26,288,17864,1.61%,9.66
2024-10-25,325,19600,1.66%,11.36
2024-10-24,343,19075,1.8%,10.19
2024-10-23,347,19462,1.78%,9.39
2024-10-22,343,19062,1.8%,9.48
2024-10-21,373,20621,1.81%,11.42
2024-10-20,315,20163,1.56%,10.21
2024-10-19,280,19114,1.46%,9.39
2024-10-18,338,19129,1.77%,10.51
2024-10-17,348,19713,1.77%,9.83
2024-10-16,337,19752,1.71%,10.05
2024-10-15,331,20816,1.59%,9.89
2024-10-14,323,26973,1.2%,14.5
2024-10-13,307,22639,1.36%,9.85
2024-10-12,308,20075,1.53%,8.91
2024-10-11,333,19768,1.68%,9.58
2024-10-10,343,22750,1.51%,13.86
2024-10-09,298,20451,1.46%,9.46
2024-10-08,342,20490,1.67%,9.62
2024-10-07,350,20893,1.68%,10.89
2024-10-06,327,23137,1.41%,12.18
2024-10-05,329,20553,1.6%,8.87
2024-10-04,469,23924,1.96%,9.48
2024-10-03,577,30116,1.92%,9.14
2024-10-02,407,22430,1.81%,9.19
2024-10-01,417,21259,1.96%,9.91
2024-09-30,377,21792,1.73%,11.66
2024-09-29,294,17761,1.66%,9.84
2024-09-28,292,16564,1.76%,9.32
2024-09-27,299,17065,1.75%,11.94
2024-09-26,344,17366,1.98%,10.07
2024-09-25,282,16774,1.68%,9.86
2024-09-24,360,16699,2.16%,10.04
2024-09-23,346,17867,1.94%,11.14
2024-09-22,306,17228,1.78%,10.4
2024-09-21,275,16053,1.71%,9.44
2024-09-20,331,16738,1.98%,10.63
2024-09-19,336,19102,1.76%,11.69
2024-09-18,331,22198,1.49%,12
2024-09-17,340,22010,1.54%,11.48
2024-09-16,316,22104,1.43%,11.43
2024-09-15,330,22936,1.44%,11.48
2024-09-14,291,19667,1.48%,10.08
2024-09-13,328,18604,1.76%,10.96
2024-09-12,341,18092,1.88%,9.65
2024-09-11,363,17400,2.09%,9.25