Top pages,Clicks,Impressions,CTR,Position
https://cvety.kz/,4622,158745,2.91%,9.52
https://cvety.kz/almaty/,1801,141363,1.27%,8.24
https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,1108,72418,1.53%,10.03
https://blog.cvety.kz/etiket-dareniya-cvetov,1004,28480,3.53%,17.49
https://cvety.kz/almaty/flowers/cheap/,924,55110,1.68%,7.76
https://blog.cvety.kz/flowershop,795,24879,3.2%,20.65
https://cvety.kz/kostanay/,759,31847,2.38%,5.93
https://cvety.kz/blog/bukety-iz-gipsofily-kak-zasushit-i-khranit-kachim-v-vide-sukhotsveta/,752,23540,3.19%,11.18
https://blog.cvety.kz/floral-foam,739,35546,2.08%,9.83
https://cvety.kz/pavlodar/,639,27561,2.32%,5.76
https://blog.cvety.kz/peony,597,80984,0.74%,9.47
https://blog.cvety.kz/men-gifts,556,48888,1.14%,23.28
https://cvety.kz/shymkent/,470,24497,1.92%,6.23
https://cvety.kz/astana/flowers/cheap/,414,59347,0.7%,6
https://cvety.kz/astana/plants/,396,17351,2.28%,7.26
https://cvety.kz/almaty/flowers/roses/,330,77202,0.43%,8.62
https://blog.cvety.kz/lilly,326,26821,1.22%,12.92
https://cvety.kz/en/almaty/,320,3832,8.35%,8.21
https://cvety.kz/en/,319,5957,5.36%,6.46
https://blog.cvety.kz/how-to-dry-flowers,255,19750,1.29%,10.84
https://blog.cvety.kz/roses,250,27526,0.91%,3.97
https://blog.cvety.kz/hen-party-gift,248,9993,2.48%,10.13
https://cvety.kz/karaganda/,243,16658,1.46%,8.35
https://cvety.kz/blog/gipsofily-znachenie-buketa-i-tsvetkov/,239,40049,0.6%,9.28
https://cvety.kz/astana/balloons/,239,15189,1.57%,9.89
https://cvety.kz/blog/kak-dolgo-mozhet-stoyat-kompozitsiya-iz-gipsofily/,235,26753,0.88%,6.63
https://cvety.kz/almaty/flowers/chrysanthemums/,231,42240,0.55%,11.3
https://cvety.kz/almaty/flowers/gipsofila/,205,37770,0.54%,7.69
https://blog.cvety.kz/calla,191,28006,0.68%,11.75
https://blog.cvety.kz/top15almaty,189,7142,2.65%,13.35
https://cvety.kz/astana/flowers/peonies/,163,29089,0.56%,16.27
https://cvety.kz/uralsk/,149,6563,2.27%,11.95
https://cvety.kz/astana/flowers/roses/,148,30641,0.48%,10.47
https://cvety.kz/rudny/,142,3088,4.6%,6.37
https://cvety.kz/almaty/flowers/hydrangeas/,141,23435,0.6%,11.96
https://blog.cvety.kz/first-date-bouquet,135,6086,2.22%,17.68
https://blog.cvety.kz/hrizantemy,133,10956,1.21%,16.23
https://cvety.kz/taraz/,132,8133,1.62%,7.32
https://cvety.kz/astana/flowers/shrub-roses/,130,25372,0.51%,9.01
https://cvety.kz/almaty/flowers/shrub-roses/,125,20552,0.61%,8.23
https://blog.cvety.kz/alstroemeria,125,10452,1.2%,11.23
https://cvety.kz/aktobe/,125,10036,1.25%,9.63
https://cvety.kz/aktau/,116,6387,1.82%,8.21
https://cvety.kz/kokshetau/,109,6630,1.64%,12.41
https://cvety.kz/ust-kamenogorsk/,106,7167,1.48%,9.94
https://cvety.kz/almaty/flowers/peony-roses/,101,20399,0.5%,11.45
https://cvety.kz/products/15673/,100,82761,0.12%,3.03
https://cvety.kz/shymkent/flowers/hydrangeas/,99,3458,2.86%,10.35
https://cvety.kz/almaty/flowers/in-the-basket/,98,23432,0.42%,13.91
https://cvety.kz/almaty/flowers/peonies/,97,30623,0.32%,8.24
https://cvety.kz/astana/flowers/chrysanthemums/,93,15809,0.59%,13.16
https://blog.cvety.kz/sub,92,829,11.1%,20.58
https://cvety.kz/almaty/plants/,91,19775,0.46%,8.03
https://cvety.kz/astana/sweets/strawberries-in-chocolate/,91,2311,3.94%,8.73
https://cvety.kz/astana/fruits/,90,2414,3.73%,12.37
https://cvety.kz/crm/,85,229,37.12%,2.36
https://cvety.kz/almaty/flowers/for-birthday/,84,16680,0.5%,27.46
https://cvety.kz/shymkent/flowers/shrub-roses/,83,5368,1.55%,5.04
https://cvety.kz/almaty/flowers/eustomas/,75,12075,0.62%,13.42
https://blog.cvety.kz/eustoma,75,11016,0.68%,18.6
https://cvety.kz/astana/soft-toys/,73,3838,1.9%,9.61
https://cvety.kz/astana/flowers/lilies/,71,4155,1.71%,7.8
https://cvety.kz/nur-sultan/flowers/cheap/,71,3712,1.91%,6.32
https://cvety.kz/almaty/fruits/,67,20881,0.32%,7.87
https://cvety.kz/petropavl/,66,2248,2.94%,20.55
https://cvety.kz/products/18066/,65,3339,1.95%,8.26
https://cvety.kz/almaty/flowers/sweets/,63,2927,2.15%,11.23
https://cvety.kz/astana/reviews/,61,16210,0.38%,4.46
https://blog.cvety.kz/carnation,61,14228,0.43%,13.82
https://cvety.kz/karaganda/flowers/shrub-roses/,61,3808,1.6%,4.18
http://kokshetau.cvety.kz/,60,1038,5.78%,3.26
https://cvety.kz/almaty/korziny/,57,1344,4.24%,12
https://cvety.kz/kostanay/flowers/roses/,53,3617,1.47%,6.05
https://cvety.kz/semey/,52,2825,1.84%,11.43
https://cvety.kz/astana/sweets/bento-cakes/,51,4478,1.14%,9.85
https://cvety.kz/almaty/gifts/for-birthday/,51,1118,4.56%,14.2
https://cvety.kz/nur-sultan/balloons/,50,2253,2.22%,6.85
https://cvety.kz/kostanay/flowers/cheap/,49,1852,2.65%,4.6
https://blog.cvety.kz/bouquetbride,48,5926,0.81%,26.96
https://cvety.kz/shymkent/flowers/roses/,48,3099,1.55%,6.23
https://cvety.kz/astana/flowers/gipsofila/,47,7461,0.63%,8.6
https://blog.cvety.kz/boutonniere,47,7170,0.66%,12.08
https://blog.cvety.kz/gollandskie-rozy,47,3515,1.34%,14.9
https://cvety.kz/almaty/sweets/strawberries-in-chocolate/,47,3278,1.43%,11.36
https://cvety.kz/kostanay/flowers/shrub-roses/,47,2249,2.09%,6.65
https://cvety.kz/nur-sultan/plants/,47,1879,2.5%,7.94
https://blog.cvety.kz/otkudarozivkz,47,1041,4.51%,21.99
https://cvety.kz/products/12290/,46,6004,0.77%,5.41
https://cvety.kz/astana/sweets/cakes/,46,1281,3.59%,10.26
https://cvety.kz/kostanay/flowers/chrysanthemums/,45,2003,2.25%,7.74
https://cvety.kz/almaty/opt/,43,17215,0.25%,7.73
https://blog.cvety.kz/facts,43,1208,3.56%,12.84
https://cvety.kz/payment/,43,758,5.67%,32.86
https://cvety.kz/products/13095/,41,1920,2.14%,10.91
https://cvety.kz/pavlodar/flowers/roses/,41,1655,2.48%,5.25
https://cvety.kz/ust-kamenogorsk/flowers/shrub-roses/,40,4400,0.91%,2.83
https://cvety.kz/astana/flowers/hydrangeas/,40,3838,1.04%,10.77
https://cvety.kz/nur-sultan/flowers/peonies/,39,8835,0.44%,10.34
https://cvety.kz/astana/gifts/,39,2648,1.47%,7.02
https://cvety.kz/almaty/reviews/,39,558,6.99%,10.04
https://cvety.kz/pavlodar/flowers/cheap/,38,763,4.98%,5.57
https://cvety.kz/contacts/,37,3735,0.99%,7.44
https://blog.cvety.kz/iris,35,4318,0.81%,14.52
https://cvety.kz/almaty/gifts/to-men/,35,722,4.85%,18.48
https://cvety.kz/almaty/sweets/,34,16072,0.21%,8.65
https://cvety.kz/atyrau/,34,2679,1.27%,10.71
https://cvety.kz/taraz/flowers/roses/,34,1734,1.96%,8.56
https://cvety.kz/en/almaty/sweets/,34,577,5.89%,8.81
https://cvety.kz/zhetisay/bodysuits/,34,296,11.49%,8.24
https://cvety.kz/aktobe/flowers/roses/,33,1267,2.6%,9.55
https://blog.cvety.kz/daisy,31,5958,0.52%,19.4
https://cvety.kz/astana/sweets/,30,4206,0.71%,8.82
https://cvety.kz/astana/flowers/eustomas/,28,9017,0.31%,14.68
https://blog.cvety.kz/10-prichin-zakazat-dostavku-cvetov,28,1075,2.6%,18.77
https://cvety.kz/pavlodar/flowers/chrysanthemums/,28,488,5.74%,10.8
https://cvety.kz/almaty/flowers/dutch-roses/,27,4724,0.57%,9.6
https://cvety.kz/shymkent/flowers/dutch-roses/,27,2102,1.28%,9.53
https://cvety.kz/ust-kamenogorsk/flowers/roses/,27,1241,2.18%,6.59
https://cvety.kz/pavlodar/flowers/shrub-roses/,27,849,3.18%,3.22
https://cvety.kz/astana/flowers/for-birthday/,26,7419,0.35%,12.5
https://cvety.kz/mobile/,26,445,5.84%,8.22
https://cvety.kz/astana/flowers/orchids/,25,1068,2.34%,10.65
https://cvety.kz/astana/korziny/,24,904,2.65%,13.39
https://cvety.kz/en/karaganda/,24,384,6.25%,11.28
https://cvety.kz/astana/flowers/dutch-roses/,23,5362,0.43%,10.66
https://blog.cvety.kz/rose,23,5190,0.44%,32.51
https://cvety.kz/kostanay/fruits/,23,1351,1.7%,6.99
https://blog.cvety.kz/business-bouquet,23,1277,1.8%,27.1
https://cvety.kz/nur-sultan/flowers/roses/,22,2814,0.78%,12.6
https://cvety.kz/nur-sultan/flowers/shrub-roses/,22,1862,1.18%,8.32
https://cvety.kz/almaty/flowers/to-fiancee/,22,1574,1.4%,8.56
https://cvety.kz/almaty/flowers/asters/,22,537,4.1%,8.31
https://cvety.kz/en/aktau/,22,270,8.15%,12.26
https://cvety.kz/almaty/flowers/expensive/,21,32449,0.06%,7.95
https://cvety.kz/almaty/soft-toys/,21,13429,0.16%,8.61
https://cvety.kz/astana/flowers/peony-roses/,21,4980,0.42%,17.77
https://cvety.kz/kostanay/flowers/hydrangeas/,21,1094,1.92%,20.36
https://cvety.kz/en/atyrau/,21,313,6.71%,19.5
https://cvety.kz/almaty/flowers/in-box/,20,13893,0.14%,11.17
https://cvety.kz/products/16190/,20,12652,0.16%,1.77
https://cvety.kz/shymkent/flowers/peonies/,20,1392,1.44%,14.36
https://cvety.kz/astana/flowers/sweets/,20,1208,1.66%,9.58
https://cvety.kz/balkhash/,20,651,3.07%,11.16
https://cvety.kz/products/17539/,19,4680,0.41%,8.65
https://cvety.kz/karaganda/flowers/peony-roses/,19,1492,1.27%,9.9
https://cvety.kz/astana/lingerie/,19,536,3.54%,13.98
https://cvety.kz/shymkent/flowers/cheap/,19,485,3.92%,10.29
https://cvety.kz/crm/?register=yes,19,161,11.8%,5.2
https://cvety.kz/astana/flowers/opt/,18,4720,0.38%,6.47
https://cvety.kz/almaty/flowers/alstroemerias/,18,2078,0.87%,9.58
https://cvety.kz/products/16529/,18,685,2.63%,5.26
https://cvety.kz/shymkent/flowers/chrysanthemums/,18,639,2.82%,6.46
https://cvety.kz/products/17619/,18,315,5.71%,6.49
https://cvety.kz/aktau/opt/,18,140,12.86%,24.09
https://cvety.kz/astana/flowers/in-the-basket/,17,6883,0.25%,6.35
https://cvety.kz/almaty/flowers/to-teacher/,17,4932,0.34%,7.52
https://blog.cvety.kz/almaty/,17,2818,0.6%,41.49
https://cvety.kz/almaty/flowers/carnations/,17,1809,0.94%,8.8
https://blog.cvety.kz/sendflowers,17,1276,1.33%,16.47
https://cvety.kz/nur-sultan/fruits/,17,632,2.69%,10.13
https://cvety.kz/shchuchinsk/,17,595,2.86%,9
https://cvety.kz/aksu/,17,505,3.37%,14.04
https://cvety.kz/saran/,17,328,5.18%,9.6
https://cvety.kz/en/almaty/soft-toys/,17,242,7.02%,6.31
https://cvety.kz/zhanaozen/bodysuits/,17,117,14.53%,11.4
https://cvety.kz/taldykorgan/,16,1238,1.29%,11.54
https://cvety.kz/karaganda/flowers/chrysanthemums/,16,428,3.74%,5.85
https://cvety.kz/astana/opt/,15,20690,0.07%,5.5
https://cvety.kz/kostanay/opt/,15,1086,1.38%,7.15
https://cvety.kz/taraz/flowers/dutch-roses/,15,530,2.83%,8.49
https://cvety.kz/kulsary/,15,294,5.1%,10.13
https://cvety.kz/zyryanovsk/,15,276,5.43%,12.3
https://cvety.kz/nur-sultan/gifts/,15,256,5.86%,10.3
https://blog.cvety.kz/marketplace,15,111,13.51%,13.96
https://cvety.kz/almaty/flowers/field-flowers/,14,12969,0.11%,8.12
https://cvety.kz/almaty/flowers/gerbera/,14,4173,0.34%,12.41
https://cvety.kz/astana/flowers/prefabricated-euro-bouquets/,14,3934,0.36%,13.29
https://cvety.kz/almaty/flowers/to-girl/,14,2228,0.63%,13.9
https://cvety.kz/aktau/flowers/shrub-roses/,14,1023,1.37%,7.96
https://cvety.kz/products/20145/,14,913,1.53%,5.27
https://cvety.kz/pavlodar/flowers/peonies/,14,432,3.24%,9.17
https://cvety.kz/zhanatas/,14,229,6.11%,11.12
https://cvety.kz/products/16445/,14,63,22.22%,3.35
https://cvety.kz/astana/flowers/in-box/,13,7816,0.17%,12.16
https://cvety.kz/almaty/flowers/for-wedding/,13,5508,0.24%,10.03
https://cvety.kz/products/17664/,13,3077,0.42%,8.37
https://cvety.kz/products/13876/,13,675,1.93%,8.84
https://cvety.kz/shymkent/balloons/,13,444,2.93%,13.79
https://cvety.kz/en/uralsk/,13,242,5.37%,35.24
https://cvety.kz/turkestan/,12,3832,0.31%,5.89
https://cvety.kz/shymkent/flowers/peony-roses/,12,1711,0.7%,11.91
https://cvety.kz/products/16939/,12,1105,1.09%,6.03
https://cvety.kz/almaty/sweets/cakes/,12,809,1.48%,27.72
https://cvety.kz/ekibastuz/,12,632,1.9%,11.41
https://cvety.kz/temirtau/,12,411,2.92%,12.56
https://cvety.kz/almaty/peignoirs/,12,389,3.08%,11.05
https://cvety.kz/arkalyk/,12,328,3.66%,18.19
https://cvety.kz/astana/flowers/to-mother/,11,24714,0.04%,6.35
https://blog.cvety.kz/znachenie-rozi,11,8660,0.13%,10.36
https://cvety.kz/products/18865/,11,7840,0.14%,6.35
https://blog.cvety.kz/buket-nevesty,11,2919,0.38%,23.42
https://blog.cvety.kz/orchids,11,2182,0.5%,26.61
https://cvety.kz/nur-sultan/reviews/,11,1870,0.59%,4.67
https://cvety.kz/products/14805/,11,1836,0.6%,4.5
https://cvety.kz/products/13378/,11,1796,0.61%,9.06
https://cvety.kz/products/22275/,11,588,1.87%,6.28
https://cvety.kz/ayagoz/,11,278,3.96%,10.76
https://cvety.kz/zharkent/,11,228,4.82%,8.78
https://cvety.kz/en/kostanay/,11,159,6.92%,13.72
https://cvety.kz/en/semey/,11,146,7.53%,13.94
https://cvety.kz/shymkent/fruits/,11,136,8.09%,9.01
https://cvety.kz/ust-kamenogorsk/flowers/to-fiancee/,11,123,8.94%,5.68
https://cvety.kz/saryagash/bodysuits/,11,107,10.28%,11.23
https://cvety.kz/products/20905/,10,1716,0.58%,7.43
https://cvety.kz/almaty/flowers/daisies/,10,1701,0.59%,11.37
https://cvety.kz/kostanay/balloons/,10,1306,0.77%,5.35
https://cvety.kz/rudny/flowers/shrub-roses/,10,1265,0.79%,6.18
https://cvety.kz/uralsk/flowers/shrub-roses/,10,692,1.45%,10.89
https://cvety.kz/pavlodar/flowers/dutch-roses/,10,649,1.54%,6.94
https://cvety.kz/aksay/,10,620,1.61%,11.12
https://cvety.kz/nur-sultan/flowers/suhocvet/,10,566,1.77%,9.43
https://cvety.kz/stepnogorsk/,10,428,2.34%,11.67
https://cvety.kz/karaganda/balloons/,10,403,2.48%,9.85
https://cvety.kz/shymkent/opt/,10,273,3.66%,9.52
https://cvety.kz/esik/,10,266,3.76%,19.26
https://cvety.kz/akkol/,10,258,3.88%,9.22
https://cvety.kz/almaty/gifts/to-mother/,10,163,6.13%,14.12
https://cvety.kz/taraz/bodysuits/,10,158,6.33%,11.09
https://cvety.kz/priozersk/,10,140,7.14%,18.12
https://cvety.kz/kostanay/korziny/,10,128,7.81%,10.6
https://cvety.kz/products/16578/,10,81,12.35%,20.07
https://cvety.kz/karaganda/bodysuits/,10,75,13.33%,10.45
https://cvety.kz/stepnogorsk/opt/,10,60,16.67%,12.52
https://cvety.kz/nur-sultan/opt/,9,5396,0.17%,5.88
https://cvety.kz/almaty/contacts/,9,2642,0.34%,8.5
https://cvety.kz/nur-sultan/flowers/eustomas/,9,1628,0.55%,12.87
https://cvety.kz/almaty/flowers/orchids/,9,1610,0.56%,11.71
https://blog.cvety.kz/bridesmaid-bouquet,9,1585,0.57%,24.08
https://cvety.kz/kostanay/flowers/dutch-roses/,9,1227,0.73%,8.57
https://cvety.kz/products/20450/,9,1082,0.83%,16.65
https://cvety.kz/petropavl/flowers/roses/,9,1062,0.85%,21.04
https://cvety.kz/taraz/flowers/peonies/,9,946,0.95%,9.51
https://cvety.kz/astana/flowers/to-childs/,9,676,1.33%,11.66
https://cvety.kz/kurchatov/,9,473,1.9%,12.79
https://cvety.kz/astana/gifts/for-birthday/,9,407,2.21%,19.02
https://cvety.kz/en/shymkent/,9,297,3.03%,10.2
https://cvety.kz/products/12023/,9,288,3.12%,10.82
https://cvety.kz/products/20679/,9,254,3.54%,8.35
https://cvety.kz/khromtau/,9,240,3.75%,11.22
https://cvety.kz/taraz/balloons/,9,238,3.78%,10.7
https://cvety.kz/kokshetau/flowers/cheap/,9,225,4%,19.31
https://cvety.kz/en/almaty/sweets/cakes/,9,189,4.76%,14.19
https://cvety.kz/kostanay/flowers/free-delivery/,9,183,4.92%,4.21
https://cvety.kz/products/13381/,9,175,5.14%,9.9
https://cvety.kz/lenger/,9,171,5.26%,9.36
https://cvety.kz/pavlodar/flowers/for-birthday/,9,164,5.49%,3.96
https://cvety.kz/pavlodar/gifts/,9,144,6.25%,11.51
https://cvety.kz/almaty/gifts/to-teacher/,9,120,7.5%,8.18
https://cvety.kz/arys/,9,117,7.69%,7.83
https://cvety.kz/karaganda/fruits/,9,104,8.65%,15.37
https://cvety.kz/products/18981/,9,74,12.16%,3.86
https://cvety.kz/products/20204/,8,25448,0.03%,1.19
https://cvety.kz/kaskelen/,8,6532,0.12%,4.53
https://cvety.kz/products/13372/,8,576,1.39%,2.82
https://cvety.kz/kokshetau/flowers/roses/,8,535,1.5%,8.53
https://cvety.kz/products/19011/,8,446,1.79%,9.27
https://cvety.kz/usharal/,8,417,1.92%,5.06
https://cvety.kz/almaty/flowers/suhocvet/,8,402,1.99%,13.46
https://cvety.kz/petropavl/flowers/chrysanthemums/,8,364,2.2%,22.79
https://cvety.kz/talgar/,8,353,2.27%,13.17
https://cvety.kz/shu/,8,348,2.3%,13.8
https://cvety.kz/almaty/gifts/,8,270,2.96%,19.33
https://cvety.kz/en/pavlodar/,8,254,3.15%,26.5
https://cvety.kz/products/21679/,8,243,3.29%,6.14
https://cvety.kz/saryagash/,8,233,3.43%,11.28
https://cvety.kz/products/13380/,8,223,3.59%,13.49
https://cvety.kz/nur-sultan/flowers/sweets/,8,221,3.62%,10.12
https://cvety.kz/shymkent/sweets/,8,216,3.7%,6.89
https://cvety.kz/alga/,8,200,4%,13.84
https://cvety.kz/en/astana/sweets/,8,198,4.04%,10.16
https://cvety.kz/kostanay/gifts/for-birthday/,8,187,4.28%,33.72
https://cvety.kz/balkhash/bodysuits/,8,147,5.44%,8.27
https://cvety.kz/aktau/balloons/,8,142,5.63%,9.36
https://cvety.kz/makinsk/,8,141,5.67%,12.62
https://cvety.kz/en/astana/fruits/,8,139,5.76%,8.19
https://cvety.kz/astana/gifts/to-men/,8,137,5.84%,14.4
https://cvety.kz/en/products/13810/,8,69,11.59%,4.83
https://cvety.kz/products/19141/,8,62,12.9%,7.29
https://cvety.kz/taraz/opt/,8,56,14.29%,12.27
https://blog.cvety.kz/about-us,7,22008,0.03%,5.41
https://cvety.kz/almaty/flowers/prefabricated-euro-bouquets/,7,15002,0.05%,8.22
https://blog.cvety.kz/tulips,7,5281,0.13%,24.78
https://cvety.kz/almaty/flowers/to-men/,7,4247,0.16%,8.06
https://cvety.kz/nur-sultan/flowers/hydrangeas/,7,2382,0.29%,13.06
https://cvety.kz/almaty/sweets/bento-cakes/,7,1090,0.64%,13.81
https://cvety.kz/nur-sultan/lingerie/,7,616,1.14%,12.91
https://cvety.kz/products/18856/,7,513,1.36%,8.55
https://cvety.kz/taraz/flowers/gipsofila/,7,393,1.78%,11.07
https://cvety.kz/zhitikara/,7,303,2.31%,9.8
https://cvety.kz/shemonaikha/,7,301,2.33%,18.16
https://cvety.kz/lisakovsk/,7,278,2.52%,9.68
https://cvety.kz/kostanay/flowers/for-birthday/,7,267,2.62%,10.17
https://cvety.kz/pavlodar/plants/,7,264,2.65%,9.8
https://cvety.kz/kyzylorda/,7,264,2.65%,15.18
https://cvety.kz/pavlodar/balloons/,7,254,2.76%,10.61
https://cvety.kz/ust-kamenogorsk/flowers/chrysanthemums/,7,245,2.86%,12.06
https://cvety.kz/nur-sultan/flowers/lilies/,7,230,3.04%,6.79
https://blog.cvety.kz/headofsupport,7,193,3.63%,9.36
https://cvety.kz/kostanay/gifts/,7,163,4.29%,8.09
https://cvety.kz/tayinsha/,7,163,4.29%,13.19
https://cvety.kz/nur-sultan/flowers/orchids/,7,141,4.96%,6.28
https://cvety.kz/en/kokshetau/,7,103,6.8%,19.74
https://cvety.kz/taldykorgan/bodysuits/,7,96,7.29%,12.11
https://cvety.kz/kostanay/gifts/to-men/,7,63,11.11%,7.44
https://cvety.kz/en/products/15894/,7,53,13.21%,7.36
https://cvety.kz/uralsk/opt/,7,47,14.89%,12.3
https://cvety.kz/almaty/flowers/on-international-womens-day/,6,8595,0.07%,20.96
https://cvety.kz/en/products/18997/,6,8588,0.07%,2.56
https://cvety.kz/products/15606/,6,6611,0.09%,1.62
https://cvety.kz/zhezkazgan/,6,5938,0.1%,4.68
https://cvety.kz/products/19162/,6,1794,0.33%,12.3
https://cvety.kz/almaty/flowers/to-mother/,6,1320,0.45%,11.17
https://cvety.kz/kostanay/plants/,6,1291,0.46%,7.47
